"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-1308","04/30/2025 4:33 PM","04/28/2025 11:20 AM - 04/28/2025 11:20 AM","Harassment","Vanderbilt Hall - Exterior","Washington Square","A student reported Harassment.","Closed"
"2025-1305","04/30/2025 1:19 PM","04/30/2025 1:00 PM - 04/30/2025 2:13 PM","Criminal Mischief","Institute for the Study of the Ancient World","Upper East Side","A visitor reported Criminal Mischief.","Open"
"2025-1299","04/30/2025 11:59 AM","04-29-2025 - 04-30-2025","Criminal Mischief","Greenwich Residence Hall","Washington Square","A staff member reported Criminal Mischief","Closed"
"2025-1295","04/28/2025 9:58 PM","04/28/2025 8:50 PM - 04/28/2025 8:55 PM","Harassment","Lipton Residence Hall","Washington Square","A staff member reported Harassment.","Open"
"2025-1294","04/29/2025 9:19 PM","04/29/2025 6:21 PM - 04/29/2025 9:20 PM","Larceny","Kimmel Center","Washington Square","A student reported a Larceny.","Open"
"2025-1289","04/29/2025 5:52 PM","04/29/2025 4:25 PM - 04/29/2025 4:31 PM","Harassment","20 Cooper - Exterior","Washington Square","A student reported Harassment.","Open"
"2025-1287","04/29/2025 2:42 PM","04-29-2025 - 04/29/2025 3:15 PM","Criminal Mischief","Vanderbilt Hall - Exterior","Washington Square","A staff member reported Criminal Mischief.","Closed/Referred to NYPD"
"01303-2025","04-29-2025 5:36 PM","04-27-2025 6:00 AM","Criminal Mischief","Rubin Hall","Washington Square","A student reported Criminal Mischief.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-1277","04-29-2025 1:00 AM","04-29-2025 1:00 AM","Criminal Mischief","725 Broadway - Exterior","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1275","04-28-2025 5:34 PM","04-28-2025 3:15 PM","Larceny","Washington Square Park","Washington Square","A student reported stolen property.","Closed/ Referred to NYPD"
"2025-1272","04-28-2025 2:45 PM","04-28-2025 2:20 PM - 04-28-2025 2:55 PM","Criminal Trespass","Dibner Library","Brooklyn Commons","A student reported Criminal Trespass.","Open"
"2025-1268","04-28-2025 12:21 PM","04-28-2025 11:00 AM - 04-28-2025 2:00 PM","Larceny","404 Lafayette Street","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-1265","04-28-2025 10:18 AM","04-25-2025 12:39 PM","Loitering","Warren Weaver Hall","Washington Square","A student reported Loitering.","Open"
"2025-1260","04-28-2025 12:40 AM","04-28-2025 12:40 AM","Criminal Mischief","726 Broadway - Exterior","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1255","04-27-2025 5:01 AM","04-27-2025 5:05 AM","Criminal Mischief","Kevorkian Center - Exterior","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1250","04-26-2025 8:40 PM","04-26-2025 7:30 PM - 04-26-2025 7:40 PM","Larceny","Washington Square Park","Washington Square","A student reported missing property.","Open"
"2025-1248","04-26-2025 10:55 AM","04-26-2025 10:55 AM","Criminal Mischief","Lillian Vernon Creative Writers House - Exterior","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1247","04-26-2025 6:21 AM","04-26-2025 6:21 AM","Larceny","Gramercy Green Residence Hall","Washington Square","A Campus Safety Officer reported stolen property.","Closed/ Referred to NYPD"
"2025-1244","04-26-2025 2:05 PM","04-26-2025 2:05 PM - 04-26-2025 2:06 PM","Harassment","Founders Hall","Washington Square","A Campus Safety Officer reported Harassment.","Open"
"2025-1243","04-26-2025 1:15 PM","04-26-2025","Criminal Mischief","Forbes Building - Exterior","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1241","04-25-2025 9:35 PM","04-25-2025 7:50 PM - 04-25-2025 9:25 PM","Larceny","Second Street Residence Hall","Washington Square","A student reported missing property.","Open"
